Title,Brand,MRP,Old price,Listing position
SAMSUNG Series 7 163 cm (65 inch) QLED 4K Ultra HD Tizen TV with Alexa Compatibility,SAMSUNG,181490.00,MRP: 234900.00,1
Hisense A6GE 108 cm (43 inch) 4K Ultra HD LED Android TV with Google Assistant (2021 model),Hisense,20990.00,MRP: 44990.00,2
Hisense A71F 139 cm (55 inch) 4K Ultra HD LED Android TV with Google Assistant (2020 model),Hisense,33990.00,MRP: 49990.00,3
SAMSUNG Series 9 247 cm (98 inch) QLED 4K Ultra HD Tizen TV with Alexa Compatibility,SAMSUNG,1674000.00,MRP: 2299000.00,4
Haier K6600 Series 108 cm (43 inch) 4K Ultra HD LED Android TV with Google Assistant (2020 model),Haier,33990.00,MRP: 51490.00,5
Mi 5X 138.8 cm (55 inch) 4K Ultra HD LED Android TV with Alexa Compatibility (2021 model),Mi,46999.00,MRP: 69999.00,6
Kodak Matrix 165 cm (65 inch) QLED 4K Ultra HD Google TV with DTS TruSurround Technology (2022 model),Kodak,59999.00,MRP: 84999.00,7
Hisense A71F 177 cm (70 inch) 4K Ultra HD LED Android TV with Google Assistant (2021 model),Hisense,62990.00,MRP: 99990.00,8
Philips 8200 Series 126 cm (50 inch) 4K Ultra HD LED Android TV with Google Assistant (2021 model),Philips,42999.00,MRP: 69990.00,9
Aiwa 124 cm (55 inch) 4K Ultra HD LED Smart Google TV with Crystal Vision Technology,Aiwa,37890.00,MRP: 87990.00,10
AIWA Magnifiq 108 cm (43 inch) LED 4K Ultra HD Google TV with Dolby Vision (2022 Model),AIWA,28990.00,MRP: 57990.00,11
Hisense Bezelless 190.5 cm (75 inch) LED 4K Ultra HD Google TV with Dolby Vision (2022 model),Hisense,104990.00,MRP: 144990.00,12
Philips 8200 Series 139 cm (55 inch) 4K Ultra HD LED Android TV with Google Assistant (2021 model),Philips,48989.00,MRP: 89990.00,13
SANSUI 165 cm (65 inch) 4K Ultra HD LED Android TV with Dolby Atmos (2022 model),SANSUI,54990.00,MRP: 70290.00,14
TCL S Series 109.22 cm (43 inch) Full HD Ready LED Smart Android TV with Google Assistant,TCL,21990.00,MRP: 49990.00,15
SANSUI 178 cm (70 inch) 4K Ultra HD LED Android TV with Dolby Vision & Dolby Atmos (2022 model),SANSUI,64990.00,MRP: 94500.00,16
Sony X95K 215 cm (85 inch) 4K Ultra HD LED Android TV with Voice Assistance (2022 model),Sony,522490.00,MRP: 899900.00,17
TCL P Series 189 cm (75 inch) 4K Ultra HD LED Android TV with Dolby Audio Digital Decoder,TCL,99990.00,MRP: 254990.00,18
TOSHIBA 55M550LP 139 cm (55 inch) 4K Ultra HD QLED Google TV with Dolby Vision & Dolby Atmos (2022 model),TOSHIBA,46990.00,MRP: 79990.00,19
TOSHIBA 55C350LP 139 cm (55 inch) 4K Ultra HD LED Google TV with Dolby Vision & Dolby Atmos (2022 model),TOSHIBA,38990.00,MRP: 59990.00,20
